    n        R     size   size/n^2  pred n^2/(2*sqrt(2R lnR))   ratio
   64        1     1723     0.4207                     1381.6    1.25
   64        2     1317     0.3215                      977.0    1.35
   64        4     1186     0.2896                      615.0    1.93
   64        8      756     0.1846                      355.1    2.13
   64       16      538     0.1313                      217.4    2.47
   64       32      367     0.0896                      137.5    2.67
   64       64      274     0.0669                       88.8    3.09
   64      128      200     0.0488                       58.1    3.44
   64      256      150     0.0366                       38.4    3.90
   64      512      116     0.0283                       25.6    4.53
   64     1024       98     0.0239                       17.2    5.70
   64     2048       86     0.0210                       11.6    7.42
   64     4096       71     0.0173                        7.8    9.05
   64     7938       71     0.0173                        5.4   13.09
  128        1     6863     0.4189                     5526.5    1.24
  128        2     5180     0.3162                     3907.8    1.33
  128        4     4671     0.2851                     2459.9    1.90
  128        8     2950     0.1801                     1420.2    2.08
  128       16     2062     0.1259                      869.7    2.37
  128       32     1389     0.0848                      550.1    2.53
  128       64     1001     0.0611                      355.1    2.82
  128      128      703     0.0429                      232.4    3.02
  128      256      511     0.0312                      153.7    3.32
  128      512      381     0.0233                      102.5    3.72
  128     1024      290     0.0177                       68.8    4.22
  128     2048      232     0.0142                       46.4    5.00
  128     4096      191     0.0117                       31.4    6.09
  128     8192      162     0.0099                       21.3    7.60
  128    16384      142     0.0087                       14.5    9.77
  128    32258      137     0.0084                       10.0   13.69
  256        1    27191     0.4149                    22106.1    1.23
  256        2    20508     0.3129                    15631.4    1.31
  256        4    18495     0.2822                     9839.6    1.88
  256        8    11639     0.1776                     5680.9    2.05
  256       16     8056     0.1229                     3478.8    2.32
  256       32     5341     0.0815                     2200.2    2.43
  256       64     3826     0.0584                     1420.2    2.69
  256      128     2628     0.0401                      929.8    2.83
  256      256     1866     0.0285                      615.0    3.03
  256      512     1320     0.0201                      410.0    3.22
  256     1024      981     0.0150                      275.0    3.57
  256     2048      729     0.0111                      185.4    3.93
  256     4096      557     0.0085                      125.5    4.44
  256     8192      444     0.0068                       85.3    5.21
  256    16384      377     0.0058                       58.1    6.49
  256    32768      318     0.0049                       39.7    8.01
  256    65536      271     0.0041                       27.2    9.97
  256   130050      269     0.0041                       18.7   14.37
